persona,story,id,cq,issues
Carolina,1_SourcesCrossAnalysis,CQ10,In which historical documents is there evidence of reception of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ11,In which bibliographic references is there evidence of reception of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ12,Which is the medium of performance of musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ13,Which was the first medium of performance of musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ14,Which instruments are involved in musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ15,Which voices are involved in musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ16,In which tonality was written the musical composition X for the first time? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ17,Which is/are the composer(s) of the musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ18,Who has spoken about the musical composition X? *(reception of musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ19,Who has spoken about the musical performance X? *(reception of musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ20,How was the musical composition X received? *(reception of musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ21,How was the performance of musical composition X received? *(reception of musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ22,When was a musical composition performed? *(musical performance)*,pass
Keith,1_MusicConnections,CQ1,Can we find relations between different artists and music?,pass
Keith,1_MusicConnections,CQ2,Can we find music which has a non-obvious relation to some other music?,pass
Keith,1_MusicConnections,CQ3,"Can we visualize the relations between different media, different music etc?",pass
Jorge,1_OrganizeMyLibrary,CQ1,"Is there a digital space to represent and describe the concept of ""Opus"", and store digital scores related to an opus ?",pass
Jorge,1_OrganizeMyLibrary,CQ2,"Is my collections and subcollections organisation based on clear concepts (e.g., genre, composer, period...) to gather Opuses ?",['hard']
Jorge,1_OrganizeMyLibrary,CQ3,"Am I able to nagivate, search and visualize  my collections and opus ?",pass
Jorge,1_OrganizeMyLibrary,CQ4,"Can I examine *features* extracted from  digital scores  (e.g., tonality, when relevant, number of parts, etc.) ?",pass
Jorge,1_OrganizeMyLibrary,CQ5,"Identify the dimensions and/or features that are relevant to support an on-the-fly reorganization of the digital library, whenever the standard organization does not meet the user's expectations","['incomplete', 'hard']"
Jorge,1_OrganizeMyLibrary,CQ6,"Can I progressively explore the content of my library, adding criteria to refine large results ?",pass
Jorge,3_DynamicExploration,CQ1,What are the most relevant dimensions to classify on the fly a result set ?,pass
Jorge,3_DynamicExploration,CQ2,What features can be extracted on the fly from a score content to partition in a meaning ful way a score collection?,pass
Jorge,4_LinkToSources,CQ1,Can I link digital sources to an Opus ?,pass
Jorge,4_LinkToSources,CQ2,"Can I refer to *fragments* of a scoree, eg., the first 10 measures, or part B of a movement ?",pass
Jorge,4_LinkToSources,CQ3,"Can I link fragments of sources and fragments of scores, such as for instance a measure in an Opus with a part of a reecording ?",['hard']
Jorge,2_FindSimilarScores,CQ1,Can I susesimilarity criterias based on metadata and features of musical works ?,pass
Jorge,2_FindSimilarScores,CQ2,"Am I proposed  the most relevant criterias, or combination of criterias,  to expand an initial search ?",pass
William,1_EuropeanFolkMusic,CQ1,In which collections/datasets does song X occur?,pass
William,1_EuropeanFolkMusic,CQ2,In which countries does song X occur?,pass
William,1_EuropeanFolkMusic,CQ3,Which compositions match with William's thematic focus for the exhibition?,pass
William,1_EuropeanFolkMusic,CQ4,Which composers and performers are related to these compositions?',pass
William,1_EuropeanFolkMusic,CQ5,In which historical documents is composer X mentioned?,pass
William,1_EuropeanFolkMusic,CQ6,Under which titles is this song known? (multi-language),pass
William,1_EuropeanFolkMusic,CQ7,"What are the relations between the relevant countries, compositions, composers and performers in the various collections?",['hard']
William,1_EuropeanFolkMusic,CQ8,"How have the relations between the relevant countries, compositions, composers and performers in the various collections changed over time?",['hard']
William,1_EuropeanFolkMusic,CQ9,How many search results are there per time period?,pass
William,1_EuropeanFolkMusic,CQ10,How many search results are there per genre?,pass
William,1_EuropeanFolkMusic,CQ11,What is the relevant metadata for music collections and what do the different fields mean?,pass
William,1_EuropeanFolkMusic,CQ12,"Inspect the degree to which metadata fields have been filled across the collections, see trends and gaps?",pass
Ortenz,1_MusicAndChildhood,CQ1,"CQ1. What is the difference between the ‘official’ perception of the role of music and how music is experienced?

 *",['complex']
Ortenz,1_MusicAndChildhood,CQ1,"CQ1.1 What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events
 *",['hard']
Ortenz,1_MusicAndChildhood,CQ1,"CQ1.2 What are the official sources? What are the sources produced by ordinary people?
 *",['to-split']
Ortenz,1_MusicAndChildhood,CQ1,"CQ1.3 What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation
 *",['hard']
Ortenz,1_MusicAndChildhood,CQ1,"CQ1.4 What are the goals of the source?
 *",pass
Ortenz,1_MusicAndChildhood,CQ1,CQ1.5 What is the emotional response of music listeners/authors in both types of sources?,pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2. How is music used to teach children about identity and heritage?

 *",['complex']
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.1 In which source there is evidence of children as target audience and music as subject?  
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.2 What are the subjects of the source?  
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.3 What are the subjects that are related to national identity?
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.4 What are the subjects that are related to national heritage?
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.5 When was the source produced?
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.6 Where was the source produced?
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.7 Who produced the source?
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.8 What type of source is it? E.g. Literary text, painting
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.9 What is the context of production of the source? E.g. academic, official source, personal or primary source, commission to an artist
 *",['hard']
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.10 Are there related events connected to the production of the source? E.g. national fests, war period, political or historical events
 *",['hard']
Ortenz,1_MusicAndChildhood,CQ2,"CQ2.11 What is context of usage of the source? E.g. propaganda, personal account, review of an event, teaching
 *",pass
Ortenz,1_MusicAndChildhood,CQ2,CQ2.12 How subjects/goals/contexts of usage change over time?,pass
Ortenz,1_MusicAndChildhood,CQ3,"CQ3. What is the adult perception of the role of music in children’s education?

 *",['complex']
Ortenz,1_MusicAndChildhood,CQ3,"CQ3.1 What is the goal of the official sources?
 *",pass
Ortenz,1_MusicAndChildhood,CQ3,CQ3.2 To what extent are music subjects relevant (among the others) in official sources targeted to children?,pass
Ortenz,2_MusicalSocialNetwork,CQ1,"What places did muciain Z visited in her career?

* Where did she perform?
* Where did she live?","['to-split', 'complex']"
Ortenz,2_MusicalSocialNetwork,CQ2,"Did musician X and performer Y ever met? Where, when, and why?",['to-split']
Ortenz,2_MusicalSocialNetwork,CQ3,"In what context the meeting happend? 

* What is the nature of the event? 
* Was it a celebration, a festival, a private event?
* Was it a religious or a secolar event?
* Who paid to support the event?","['to-split', 'complex', 'hard']"
Ortenz,2_MusicalSocialNetwork,CQ4,"What is the provenance of the event attendees? What and how they happened to be there?

* Did they travel to reach the place?
* Where they invited? Was the meeting accidental?","['to-split', 'complex', 'hard']"
Ortenz,2_MusicalSocialNetwork,CQ5,How can we characterize the relation among the participants?,pass
Mark,1_FolkMusic,CQ1,Is a composer known for composition X?,pass
Mark,1_FolkMusic,CQ2,What is the name of the composer specified in the source of this composition?,pass
Mark,1_FolkMusic,CQ3,What is the similarity between compositions X and Y given similarity measure Z?,pass
Mark,1_FolkMusic,CQ4,Which tunes are similar to tune X given similarity measure Y?,pass
Mark,1_FolkMusic,CQ5,Who (which source) attributed composition X to composer Y?,pass
Mark,1_FolkMusic,CQ6,Which are all known concordances (same composition/tune in another source)?,pass
Mark,1_FolkMusic,CQ7,Which concordances of composition X have a composer name associated?,pass
Mark,1_FolkMusic,CQ8,What is the geographic origin of source X?,pass
Mark,1_FolkMusic,CQ9,Who were the owners of (manuscript) source X?,pass
Mark,1_FolkMusic,CQ10,Who was/were the scribe(s) of (manuscript) source X?,pass
Mark,1_FolkMusic,CQ11,What was the repertoire of scribe X (i.e. all compostions written down by X)?,pass
Mark,1_FolkMusic,CQ12,Who was the publisher of (printed) source X?,pass
Mark,1_FolkMusic,CQ13,What is publication year of printed source X?,pass
Mark,1_FolkMusic,CQ14,Which are all compositions that are in source X?,pass
Mark,1_FolkMusic,CQ15,What is current location of source X?,pass
Mark,1_FolkMusic,CQ16,Where to find a digital scan of source X (url)?,pass
Mark,1_FolkMusic,CQ17,What is the title of composition X in source Y?,pass
Mark,1_FolkMusic,CQ18,What is the tune indication of composition X in source Y?,pass
Mark,1_FolkMusic,CQ19,On what page (or folio) is composition X in source Y?,pass
Mark,1_FolkMusic,CQ20,What is the serial number of composition X in source Y?,pass
Mark,1_FolkMusic,CQ21,What printed source shares content with manuscript X?,pass
Mark,1_FolkMusic,CQ22,What is the language of the lyrics of tune X?,pass
Mark,1_FolkMusic,CQ23,Has composition X been identified as variant in a tune family?,pass
Mark,1_FolkMusic,CQ24,Which tune family does composition X belong to?,pass
Mark,1_FolkMusic,CQ25,Who assigned composition X to tune family Y?,pass
Mark,1_FolkMusic,CQ26,With what level of confidence is composition X a variant in tune family Y?,pass
Mark,1_FolkMusic,CQ27,What are all compositions in tune family X?,pass
Mark,1_FolkMusic,CQ28,What are the similarities / differences of all compositions in tune family X according to measure Y?,pass
Mark,1_FolkMusic,CQ29,"To what tune families is tune family X related, given similarity measure Y?",pass
Mark,1_FolkMusic,CQ30,What are alternative titles for composition X?,pass
Mark,1_FolkMusic,CQ31,What are the differences / similarities between two corpora of compositions concerning features Y1..Yn?,pass
Mark,1_FolkMusic,CQ32,What are longitudinal differences / similarities within a corpus concerning features Y1..Yn?,pass
Mark,1_FolkMusic,CQ33,What are the differences / similarities between two corpora of compositions concerning occurrences of patterns?,pass
Mark,1_FolkMusic,CQ34,What are longitudinal differences / similarities within a corpus concerning occurrences of patterns?,pass
Mark,1_FolkMusic,CQ35,What patterns do the compositions in corpus X share?,pass
Mark,1_FolkMusic,CQ36,"What patterns are overrepresented in corpus X compared to corpus Y?

## Resources

Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation 

ABC notation database http://abcnotation.com/ 

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark’s work could be helped by:

Connection to other databases, so that he could automatically query a range of databases

## Remarks

Requirements for UI:
- visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming
- visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin.
- vizualize the circulation of certain repertoires (e.g. Italian opera).

Previous set of CQs. These are quite abstract, but not yet all covered by the set of CQs in the section above.","['complex', 'hard']"
Mark,1_FolkMusic,CQ1,"Can we identify a tune (e.g. from an oral tradition) in our collection with music in another documented collection, e.g. RISM, NEUMA, ABC","['incomplete', 'hard']"
Mark,1_FolkMusic,CQ2,Can we trace the origin of a melody (composer)?,pass
Mark,1_FolkMusic,CQ2,"Can we compare music from different collections, e.g. from different countries to show connections/influences between musical styles?",['hard']
Mark,1_FolkMusic,CQ3,"Can we compare music longitudinally, e.g. to see evolution of tonality and transition from modal to tonal? Working either at manuscript of collection level.",['hard']
Mark,1_FolkMusic,CQ4,"Can we visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming","['incomplete', 'hard']"
Mark,1_FolkMusic,CQ5,"Can we visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin?",pass
Mark,1_FolkMusic,CQ6,Can we link repertoires by scribes?,pass
Mark,1_FolkMusic,CQ7,Do 'national' repertoires have specific characteristics in terms of frequent patterns?,pass
Mark,1_FolkMusic,CQ8,How does translation (of lyrics) affect variation in the melody?,pass
Mark,1_FolkMusic,CQ9,Which aspects of melody vary and which remain stable in the process of transmission and adaptation?,pass
Mark,1_FolkMusic,CQ10,"How did certain repertoires (e.g., Italian opera) circulate?",pass
Mark,1_FolkMusic,CQ11,What are the connections between printed sources and manuscripts? (manuscripts could be copies of printed sources,pass
Sophia,1_MusiciansAndTheirEnvironment,CQ1,"CQ1. What was the composer’s network (patrons, institutions …)?

 * What is the “intellectual framework” of a musician? which explains why certain music was played and how it was played
 * What is the time relationship between different musicians, e.g. who was working at the same time?
 * What relationships exist between institutions, e.g. employment of the same musicians; and between people and institutions, e.g. between a number of composers and a printer?","['to-split', 'complex', 'hard']"
Sophia,1_MusiciansAndTheirEnvironment,CQ2,"CQ2. What relationships exist between different sources of information, e.g. payslips and accounts?",pass
Sophia,2_OriginsAndForm,CQ1,"CQ1. What parallels are there between the composition of music and the use of language, e.g. in the use of rhetorical delivery?

  * What rhetorical strategies are used in a piece of music?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ2,"CQ2. Why was a piece of music written to be evocative of something, e.g. the call of a cuckoo?

 * What does music evoke?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ3,CQ3. What different motifs exist in a piece of music?,pass
Sophia,2_OriginsAndForm,CQ4,"CQ4. What relationships exist in a multi-line piece of music, i.e. over time and between the lines?",pass
Sophia,2_OriginsAndForm,CQ5,"CQ5. In early written music, what is left of the preceding unwritten tradition?

 * What are the sources the musician used?
 * What sources, musicians, traditions influenced the musician?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ6,"CQ6. How does the corpus of a composer compare with that of other composers, particularly those writing at the same time?

 * What are the similarities? motifs, harmony, texts","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ7,"CQ7. Can we use a statistical comparison, or a particular ‘thumbprint’ in the music, to identify the composer of a piece of music?",['hard']
Sophia,2_OriginsAndForm,CQ8,"CQ8. When a musical structure, e.g. a motif, is found in two composers, is one copied from the other, or do they come out of a previous tradition?",['hard']
Sophia,3_Reorchestration,CQ1,What are the instruments that play the musical piece?,pass
Sophia,3_Reorchestration,CQ2,In which group does the instrument belong to?,pass
Sophia,3_Reorchestration,CQ3,In which family does the instrument belong to?,pass
Sophia,3_Reorchestration,CQ4,Which is the timbre of the instrument?,pass
Sophia,3_Reorchestration,CQ5,Which is the range of pitches available on the instrument?,pass
Sophia,3_Reorchestration,CQ6,Which is the dynamic range of the instrument?,pass
Sophia,3_Reorchestration,CQ7,Which is the notation convention of the instrument?,pass
Sophia,3_Reorchestration,CQ8,With which genre is the instrument related to? (To be considered),pass
Sophia,3_Reorchestration,CQ9,In what genre of music the instrument was used?,pass
Sophia,3_Reorchestration,CQ10,In what combinations of instruments the instrument was used?,pass
Sophia,3_Reorchestration,CQ11,What are the differences between ancient and modern version of the same instrument?,pass
Sonia,2_ShuffleMode,CQ1,"What is the connection between two musical pieces?
-",pass
Sonia,2_ShuffleMode,CQ2,"Is a musical piece connected to another musical piece by historical event?
-",pass
Sonia,2_ShuffleMode,CQ3,"Which feature is selected to create the shuffle?
-",pass
Sonia,2_ShuffleMode,CQ4,"What are the types of features that are used to create shuffles?
-",pass
Sonia,2_ShuffleMode,CQ5,"Which is the immediate previous/next musical piece?
-",pass
Sonia,2_ShuffleMode,CQ6,Is a musical piece connected to another musical piece by common people?,pass
Sonia,1_ExplorationMode,CQ1,"What is the musical piece that the persona selects?
-",pass
Sonia,1_ExplorationMode,CQ2,"With which image/textual information/multimedia/musical piece is the selected musical piece connected to inside/outside the playlist?
-",['hard']
Sonia,1_ExplorationMode,CQ3,"Which is the melodic pattern of the musical piece?
-",pass
Sonia,1_ExplorationMode,CQ4,"In which other musical pieces does the melodic pattern appear?
-",pass
Sonia,1_ExplorationMode,CQ5,"Who is/are the composer(s)/musician(s) of the musical piece?
-",pass
Sonia,1_ExplorationMode,CQ6,"What information is available for the composer(s)/musician(s)?
-",pass
Sonia,1_ExplorationMode,CQ7,"When/Where was the musical piece recorded?
-",pass
Sonia,1_ExplorationMode,CQ8,"Has another musical piece ""the user likes"" been recorded in the same venue?
-",pass
Sonia,1_ExplorationMode,CQ9,"Are there excerpts of the lyrics available for a musical piece? If yes, which are they?
-",['to-split']
Sonia,1_ExplorationMode,CQ10,"Is the excerpt of the lyric featured in other musical pieces?
-",pass
Sonia,1_ExplorationMode,CQ11,"Which is the source of the excerpt of the lyrics?
-",pass
Sonia,1_ExplorationMode,CQ12,"Is there a person mentioned in the excerpt of the lyrics? If yes, what background information is available for him/her?",['to-split']
Keoma,1_RestorationAndSoundPractices,CQ1,"Where is the building?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ2,"When (what year) was the building built?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ3,"In which context is the building located (urban, periurban...)? 
-",pass
Keoma,1_RestorationAndSoundPractices,CQ4,"Are there bells in a church?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ5,"Which is the mounting system of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ6,"Which is the material of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ7,"By whom (by which foundry) were they cast?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ8,"In which year were they cast?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ9,"Which is the nominal/fundamental note of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ10,"Which is the extension of the whole set of bells in a bell tower?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ11,"Which is the weight of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ12,"Which are the measures of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ13,"What kind of execution techniques are possible to perform according to a specific mounting system?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ14,"Can a set of bells be played electrically, manually, or both?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ15,"How/Using which tools is the set of bells played, when played manually?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ16,"Where is the church/bell tower?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ17,"How many bells are in the church?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ18,"Which is the mouth diameter of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ19,"Which is the sound bow of the bell?
-",pass
Keoma,1_RestorationAndSoundPractices,CQ20,"Using which execution technique(s) is the set of bells played, when played manually?

**old**",['complex']
Keoma,1_RestorationAndSoundPractices,CQ2,What kind of repertoire is traditionally performed in that specific location?,pass
Keoma,1_RestorationAndSoundPractices,CQ3,What is the dating that accompanies this repertoire?,pass
Keoma,1_RestorationAndSoundPractices,CQ4,Is it a repertoire performed in the contemporary world?,pass
Keoma,1_RestorationAndSoundPractices,CQ5,Is it a repertoire in that place currently performed by hand or by electric means?,pass
Keoma,1_RestorationAndSoundPractices,CQ6,How many people are generally employed for the performance of these sound practices?,pass
Keoma,1_RestorationAndSoundPractices,CQ7,"Are there significant variations in the frequencies between the manually produced sound and the electric sound, such as to have repercussions on the soundscape?",['hard']
Keoma,1_RestorationAndSoundPractices,CQ8,Are there historical evidences of the presence of that sound in the surrounding area?,pass
Frank,1_OrganKnowledge,CQ1,What does the organ look like?,pass
Frank,1_OrganKnowledge,CQ2,Which organs are built in a similar style?,pass
Frank,1_OrganKnowledge,CQ3,What is the concert agenda for organ X?,pass
Frank,1_OrganKnowledge,CQ4,Where to find audio/video resources featuring organ X?,pass
Frank,1_OrganKnowledge,CQ5,Where to find audio/video resources featuring organist X?,pass
Frank,1_OrganKnowledge,CQ6,What is the address of the owner/maintainer of organ X?,pass
Sethus,2_CreateRelevantCorpus,CQ1,"Search operations should be expressed on either raw-level features (eg melodic lines) or higher-level features (eg modes, cadences, triad patterns, etc.). The systm should retrieve efficiently all sources that match the search pattern, and identifiy pattern occurrences","['incomplete', 'hard']"
Sethus,2_CreateRelevantCorpus,CQ2,A subset can be hierarchically refined based on criteria independant from on another and independant from the initial search pattern. The user can navigate in this hierarchy and refine the search.,"['incomplete', 'hard']"
Sethus,2_CreateRelevantCorpus,CQ3,"At each step, the result set takes the form of a subcorpus organized according to rich relationships, and enriched with user annotations","['incomplete', 'hard']"
Sethus,2_CreateRelevantCorpus,CQ4,"A result set can be stored (in intention, not in extension) as a Relevant Corpus, and its definition can be revised at any moment","['incomplete', 'hard']"
